id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_countries,spoken_languages,keywords,cast_3,director
27205,Inception,8.364,34495,2010,825532764,148,False,160000000,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,Your mind is the scene of the crime.,"['Action', 'Science Fiction', 'Adventure']","['United Kingdom', 'United States of America']","['English', 'French', 'Japanese', 'Swahili']","['rescue', 'mission', 'dream', 'airplane', 'paris', 'france', 'virtual reality', 'kidnapping', 'philosophy', 'spy', 'allegory', 'manipulation', 'car crash', 'heist', 'memory', 'architecture', 'los angeles', 'california', 'dream world', 'subconscious']","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",['Christopher Nolan']
157336,Interstellar,8.417,32571,2014,701729206,169,False,165000000,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Mankind was born on Earth. It was never meant to die here.,"['Adventure', 'Drama', 'Science Fiction']","['United Kingdom', 'United States of America']",['English'],"['rescue', 'future', 'spacecraft', 'race against time', 'artificial intelligence (a.i.)', 'nasa', 'time warp', 'dystopia', 'expedition', 'space travel', 'wormhole', 'famine', 'black hole', 'quantum mechanics', 'family relationships', 'space', 'robot', 'astronaut', 'scientist', 'single father', 'farmer', 'space station', 'curious', 'space adventure', 'time paradox', 'thoughtful', 'time-manipulation', 'father daughter relationship', '2060s', 'cornfield', 'time manipulation', 'complicated']","['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",['Christopher Nolan']
155,The Dark Knight,8.512,30619,2008,1004558444,152,False,185000000,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Welcome to a world without rules.,"['Drama', 'Action', 'Crime', 'Thriller']","['United Kingdom', 'United States of America']","['English', 'Mandarin']","['joker', 'sadism', 'chaos', 'secret identity', 'crime fighter', 'superhero', 'anti hero', 'scarecrow', 'based on comic', 'vigilante', 'organized crime', 'tragic hero', 'anti villain', 'criminal mastermind', 'district attorney', 'super power', 'super villain', 'neo-noir']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",['Christopher Nolan']
19995,Avatar,7.573,29815,2009,2923706026,162,False,237000000,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Enter the world of Pandora.,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['United States of America', 'United Kingdom']","['English', 'Spanish']","['future', 'society', 'culture clash', 'space travel', 'space war', 'space colony', 'tribe', 'romance', 'alien', 'futuristic', 'space', 'alien planet', 'marine', 'soldier', 'battle', 'love affair', 'nature', 'anti war', 'power relations', 'joyful']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron']
24428,The Avengers,7.71,29166,2012,1518815515,143,False,220000000,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Some assembly required.,"['Science Fiction', 'Action', 'Adventure']",['United States of America'],"['English', 'Hindi', 'Russian']","['new york city', 'superhero', 'shield', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon']
293660,Deadpool,7.606,28894,2016,783100000,108,False,58000000,en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",72.735,/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,Witness the beginning of a happy ending.,"['Action', 'Adventure', 'Comedy']",['United States of America'],['English'],"['superhero', 'anti hero', 'mercenary', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger']","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein']",['Tim Miller']
550,Fight Club,8.438,27238,1999,100853753,139,False,63000000,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Mischief. Mayhem. Soap.,['Drama'],['United States of America'],['English'],"['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']","['Edward Norton', 'Brad Pitt', 'Meat Loaf']",['David Fincher']
118340,Guardians of the Galaxy,7.906,26638,2014,772776600,121,False,170000000,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,All heroes start somewhere.,"['Action', 'Science Fiction', 'Adventure']",['United States of America'],['English'],"['spacecraft', 'based on comic', 'space', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",['James Gunn']
680,Pulp Fiction,8.488,25893,1994,213900000,154,False,8500000,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",74.862,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,Just because you are a character doesn't mean you have character.,"['Thriller', 'Crime']",['United States of America'],"['English', 'Spanish', 'French']","['drug dealer', 'boxer', 'massage', 'stolen money', 'briefcase', 'crime boss', 'redemption', 'heirloom', 'dance competition', 'los angeles', 'california', 'theft', 'nonlinear timeline', 'multiple storylines', 'neo-noir', 'hilarious']","['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",['Quentin Tarantino']
13,Forrest Gump,8.477,25409,1994,677387716,142,False,55000000,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",92.693,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,The world will never be the same once you've seen it through the eyes of Forrest Gump.,"['Comedy', 'Drama', 'Romance']",['United States of America'],['English'],"['vietnam war', 'vietnam veteran', 'mentally disabled', 'friendship', 'usa president', 'washington dc', 'usa', 'post-traumatic stress disorder (ptsd)', 'waitress', 'china', 'based on novel or book', 'hippie', 'single parent', 'parent child relationship', 'optimism', '1970s', 'drug addiction', 'autism', 'alabama', 'black panther party', 'bus stop', 'family relationships', 'single mother', 'military', 'anti war protest', '1960s', 'college american football', 'mother son relationship', 'loving', 'feel-good']","['Tom Hanks', 'Robin Wright', 'Gary Sinise']",['Robert Zemeckis']
